
labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:155, scores: [0.7396432515060437, 0.7396432515060437, 0.7396432515060437, 0.7149884764558423, 0.7396432515060437, 0.7396432515060437, 0.7396432515060437, 0.7334009782379471]
file_idx:156, scores: [0.975609756097561, 0.9506172839506173, 0.9, 0.8354430379746836, 0.975609756097561, 0.9630324483303704, 0.9421130847061888, 0.9138192420673299]
file_idx:157, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:158, scores: [0.8329666272399409, 0.817965209950726, 0.7876945746669501, 0.7417457244780448, 0.8329666272399409, 0.825431839785858, 0.8129992878638584, 0.7943169590266599]
file_idx:159, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:160, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:161, scores: [0.8926174496644296, 0.8851351351351351, 0.8707482993197279, 0.8424657534246576, 0.8926174496644296, 0.8888684193584023, 0.8838881346388547, 0.8725291817173956]
file_idx:162, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:163, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:164, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:165, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:166, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:167, scores: [0.8507320773630871, 0.8372333004572531, 0.8235236051622656, 0.8095980091539713, 0.8507320773630871, 0.8439557008134684, 0.8373544426809353, 0.830130167075371]
file_idx:168, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:169, scores: [0.9850746268656716, 0.9699248120300752, 0.9393939393939394, 0.8931297709923665, 0.9850746268656716, 0.9774703690129348, 0.9649573879258051, 0.9462205603287877]
file_idx:170, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:171, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:172, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:173, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:174, scores: [0.9776119402985075, 0.9548872180451128, 0.9166666666666666, 0.8549618320610687, 0.9776119402985075, 0.9661827704939303, 0.9498803539630578, 0.9248454959261979]
file_idx:175, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:176, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:177, scores: [0.9856115107913669, 0.9710144927536232, 0.9562043795620438, 0.9411764705882353, 0.9856115107913669, 0.9782857768582814, 0.9711562924014858, 0.9633593507224876]
file_idx:178, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:179, scores: [0.9850746268656716, 0.9696969696969697, 0.9538461538461539, 0.9375, 0.9850746268656716, 0.9773555548504418, 0.9697561809841772, 0.9613658593861555]
file_idx:180, scores: [0.9666666666666667, 0.9325842696629213, 0.8977272727272727, 0.8620689655172413, 0.9666666666666667, 0.9494725521787473, 0.9325584290248898, 0.913929750231161]
file_idx:181, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:182, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:183, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:184, scores: [0.9722222222222222, 0.9440559440559441, 0.9154929577464789, 0.8865248226950354, 0.9722222222222222, 0.9580355775398781, 0.9441870362341185, 0.9290247748241869]
file_idx:185, scores: [0.7787394298438133, 0.7686324127283911, 0.7380458082258794, 0.6861817103341835, 0.7787394298438133, 0.773669417030027, 0.7618730810582085, 0.742007557760166]
file_idx:186, scores: [0.9930555555555556, 0.986013986013986, 0.9788732394366197, 0.9716312056737588, 0.9930555555555556, 0.9895285072531598, 0.9861033069247136, 0.9823610456991699]
file_idx:187, scores: [0.9932885906040269, 0.9864864864864865, 0.9795918367346939, 0.9726027397260274, 0.9932885906040269, 0.9898816958667741, 0.986574476600759, 0.9829621797516896]
file_idx:188, scores: [1.0, 1.0, 1.0, 0.9852941176470589, 1.0, 1.0, 1.0, 0.9963030790550046]
file_idx:189, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:190, scores: [0.989247311827957, 0.9782608695652174, 0.967032967032967, 0.9444444444444444, 0.989247311827957, 0.9837387536759294, 0.9783545687620253, 0.9696038119818372]
file_idx:191, scores: [0.9850746268656716, 0.9699248120300752, 0.9545454545454546, 0.916030534351145, 0.9850746268656716, 0.9774703690129348, 0.9700659466450668, 0.9560452357503858]
file_idx:192, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:193, scores: [1.0, 1.0, 0.9848484848484849, 0.9389312977099237, 1.0, 1.0, 0.9949744049694866, 0.9806201415103365]
file_idx:194, scores: [0.9875, 0.9746835443037974, 0.9358974358974359, 0.8441558441558441, 0.9875, 0.9810708435174292, 0.9661122048178232, 0.9338194315207203]
file_idx:195, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:196, scores: [0.9850746268656716, 0.9699248120300752, 0.9545454545454546, 0.9389312977099237, 0.9850746268656716, 0.9774703690129348, 0.9700659466450668, 0.961965303348603]
file_idx:197, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:198, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:199, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:200, scores: [0.975, 0.9493670886075949, 0.9230769230769231, 0.8961038961038961, 0.975, 0.9620981817841696, 0.9494089138167017, 0.93542454590006]
file_idx:201, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
